,Ticker,Name,Last Sale,Net Change,% Change,Market Cap
128,AEM,Agnico Eagle Mines Limited Common Stock,$197.35,6.53,3.422%,"99,210,690,787"
129,BX,Blackstone Inc. Common Stock,$133.88,-7.40,-5.238%,"98,863,802,609"
130,PBR,Petroleo Brasileiro S.A. Petrobras ADS,$15.28,0.25,1.663%,"98,469,918,302"
131,WDC,Western Digital Corporation Common Stock,$290.24,20.01,7.405%,"98,402,366,481"
132,CVS,CVS Health Corporation Common Stock,$76.83,1.41,1.87%,"97,530,497,823"
133,ING,"ING Group, N.V. Common Stock",$30.91,0.56,1.845%,"97,285,861,157"
134,CEG,Constellation Energy Corporation Common Stock,$268.45,-2.43,-0.897%,"97,274,327,532"
135,STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$444.45,11.50,2.656%,"96,922,574,628"
136,GLW,Corning Incorporated Common Stock,$112.79,2.43,2.202%,"96,701,679,065"
137,SPOT,Spotify Technology S.A. Ordinary Shares,$473.99,-34.59,-6.801%,"96,620,211,422"
138,TT,Trane Technologies plc,$435.36,10.27,2.416%,"96,536,292,781"
139,GD,General Dynamics Corporation Common Stock,$355.31,8.94,2.581%,"96,072,185,270"
140,BCS,Barclays PLC Common Stock,$27.52,0.01,0.036%,"95,673,913,951"
141,UPS,"United Parcel Service, Inc. Common Stock",$111.85,1.58,1.433%,"94,891,929,248"
142,ADP,"Automatic Data Processing, Inc. Common Stock",$235.08,-12.48,-5.041%,"94,653,637,089"
143,DUK,Duke Energy Corporation (Holding Company) Common Stock,$121.67,2.18,1.824%,"94,618,041,124"
144,BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,$75.36,0.16,0.213%,"93,565,468,800"
145,ICE,Intercontinental Exchange Inc. Common Stock,$163.07,-10.11,-5.838%,"92,979,021,856"
146,FCX,"Freeport-McMoRan, Inc. Common Stock",$64.67,3.91,6.435%,"92,861,635,782"
147,LYG,Lloyds Banking Group Plc American Depositary Shares,$6.25,0.08,1.297%,"92,631,336,963"
148,MRSH,Marsh Common Stock,$188.49,0.24,0.127%,"92,343,076,149"
149,KKR,KKR & Co. Inc. Common Stock,$103.28,-11.08,-9.689%,"92,058,980,185"
150,WM,"Waste Management, Inc. Common Stock",$226.43,1.34,0.595%,"91,221,186,358"
151,CEG,Constellation Energy Corporation Common Stock,$250.46,-17.99,-6.701%,"90,755,552,519"
152,SPOT,Spotify Technology S.A. Ordinary Shares,$440.53,-33.46,-7.059%,"89,799,577,497"
153,RCL,Royal Caribbean Cruises Ltd. Common Stock,$328.65,2.36,0.723%,"89,627,118,248"
154,FCX,"Freeport-McMoRan, Inc. Common Stock",$61.86,-2.81,-4.345%,"88,826,670,628"
155,EMR,Emerson Electric Company Common Stock,$157.32,5.22,3.432%,"88,382,376,000"
156,CM,Canadian Imperial Bank of Commerce Common Stock,$94.96,0.02,0.021%,"87,884,723,739"
157,NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",$87.79,1.56,1.809%,"87,114,805,091"
158,MAR,Marriott International Class A Common Stock,$324.56,6.14,1.928%,"87,096,258,585"
159,MMM,3M Company Common Stock,$163.79,8.11,5.209%,"87,009,350,612"
160,SNDK,Sandisk Corporation Common Stock,$584.55,-110.96,-15.954%,"86,260,435,403"
161,CVNA,Carvana Co. Class A Common Stock,$393.04,-17.32,-4.221%,"85,502,968,659"
162,FDX,FedEx Corporation Common Stock,$362.54,9.11,2.578%,"85,241,425,713"
163,BK,The Bank of New York Mellon Corporation Common Stock,$121.32,2.00,1.676%,"84,602,395,724"
164,DASH,"DoorDash, Inc. Class A Common Stock",$195.83,-6.17,-3.054%,"84,402,439,976"
165,HWM,Howmet Aerospace Inc. Common Stock,$208.61,-4.88,-2.286%,"83,874,208,476"
166,ITW,Illinois Tool Works Inc. Common Stock,$288.80,9.89,3.546%,"83,780,880,000"
167,CMI,Cummins Inc. Common Stock,$605.63,2.94,0.488%,"83,598,895,904"
168,AMT,American Tower Corporation (REIT) Common Stock,$176.55,3.42,1.975%,"82,651,286,291"
169,CRH,CRH PLC Ordinary Shares,$122.96,0.95,0.779%,"82,301,976,559"
170,MCO,Moody's Corporation Common Stock,$461.21,-9.84,-2.089%,"82,279,864,000"
171,RACE,Ferrari N.V. Common Shares,$339.33,9.01,2.728%,"82,245,856,633"
172,NU,Nu Holdings Ltd. Class A Ordinary Shares,$17.02,-1.10,-6.071%,"82,013,570,053"
173,ORLY,"O'Reilly Automotive, Inc. Common Stock",$96.74,-0.36,-0.371%,"81,658,629,860"
174,ECL,Ecolab Inc. Common Stock,$288.16,5.74,2.032%,"81,617,185,768"
175,REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",$775.06,15.88,2.092%,"81,458,390,568"
176,WMB,"Williams Companies, Inc. (The) Common Stock",$66.46,-2.04,-2.978%,"81,162,205,901"
177,DELL,Dell Technologies Inc. Class C Common Stock,$122.04,4.89,4.174%,"80,874,639,394"
178,CNQ,Canadian Natural Resources Limited Common Stock,$38.53,1.05,2.801%,"80,262,112,710"
179,SNPS,"Synopsys, Inc. Common Stock",$418.98,-0.16,-0.038%,"80,158,501,950"
180,BAM,Brookfield Asset Management Inc Class A Limited Voting Shares,$49.68,2.31,4.877%,"80,021,560,120"
181,B,Barrick Mining Corporation Common Shares,$47.36,-0.17,-0.358%,"79,916,870,925"
182,MNST,Monster Beverage Corporation,$81.44,-0.53,-0.647%,"79,568,607,831"
183,JCI,Johnson Controls International plc Ordinary Share,$129.49,5.48,4.419%,"79,256,453,015"
184,EQNR,Equinor ASA,$26.79,0.45,1.708%,"78,889,400,928"
185,EQIX,"Equinix, Inc. Common Stock REIT",$802.13,0.30,0.037%,"78,757,998,746"
186,GM,General Motors Company Common Stock,$86.29,0.58,0.677%,"78,003,386,035"
187,APO,"Apollo Global Management, Inc. (New) Common Stock",$132.80,5.95,4.691%,"77,080,117,694"
188,CTAS,Cintas Corporation Common Stock,$192.61,1.88,0.986%,"77,022,744,716"
189,NTES,"NetEase, Inc. American Depositary Shares",$121.41,-6.95,-5.414%,"76,876,603,660"
190,SLB,SLB Limited Common Shares,$51.35,1.59,3.195%,"76,785,271,755"
191,ABNB,"Airbnb, Inc. Class A Common Stock",$124.61,2.535,2.077%,"76,703,655,095"
192,MDLZ,"Mondelez International, Inc. Class A Common Stock",$59.40,-0.07,-0.118%,"76,647,294,425"
193,EPD,Enterprise Products Partners L.P. Common Stock,$35.20,0.57,1.646%,"76,148,900,960"
194,CL,Colgate-Palmolive Company Common Stock,$94.37,1.22,1.31%,"76,068,348,577"
195,NWG,"NatWest Group plc American Depositary Shares, (each representing two (2) Ordinary Shares)",$18.95,-0.12,-0.629%,"75,914,210,684"
196,ELV,"Elevance Health, Inc. Common Stock",$340.60,1.95,0.576%,"75,694,522,678"
